CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency,WebsiteVisits
1,58,34592,4,24,9
2,33,49256,18,24,4
3,52,31395,76,14,2
4,19,32280,28,8,17
5,56,23478,72,7,23
6,59,111924,70,14,8
7,46,97236,36,26,1
8,28,111506,55,11,9
9,27,48221,98,11,4
10,23,69797,13,12,12
11,56,54671,6,24,15
12,52,36361,49,3,18
13,36,102397,80,29,12
14,54,45203,91,3,2
15,60,49871,99,10,3
16,32,33238,49,9,15
17,58,67819,21,12,12
18,31,107841,35,23,22
19,59,29358,78,21,6
20,52,115568,32,6,15
21,42,55382,82,23,18
22,32,109733,42,27,25
23,21,50021,5,26,11
24,43,55093,9,7,19
25,38,47869,84,16,13
26,59,80142,19,9,5
27,33,117647,72,18,9
28,55,76155,75,13,12
29,32,38131,66,16,3
30,21,34371,20,21,6
31,45,98172,9,13,13
32,56,81348,68,9,18
33,18,109166,93,4,22
34,52,118419,35,25,21
35,39,34621,38,14,6
36,47,20425,93,29,24
37,34,85612,98,6,17
38,24,101959,39,27,21
39,50,99818,26,5,12
40,28,90697,100,30,17
41,18,98504,42,16,1
42,25,67576,40,8,2
43,33,94364,11,3,24
44,49,29071,98,18,25
45,26,36828,85,16,18
46,28,54741,68,28,20
47,45,47760,70,25,24
48,30,113447,40,13,22
49,59,68944,57,29,17
50,46,35860,32,8,3
51,39,22757,76,18,8
52,55,48864,1,3,23
53,58,27716,30,3,2
54,39,29287,66,8,9
55,60,83624,28,18,5
56,54,95525,61,8,16
57,44,44957,13,4,22
58,45,66438,55,14,15
59,21,108259,84,21,4
60,21,72772,94,11,4
61,33,45112,25,18,15
62,26,75296,24,9,15
63,33,29880,57,26,18
64,24,26630,84,18,1
65,23,118771,31,6,14
66,49,83092,28,28,13
67,21,41579,49,1,13
68,34,79638,37,14,23
69,53,106752,92,16,5
70,30,58890,28,2,19
71,52,27989,96,11,2
72,21,96569,62,17,17
73,28,27455,66,3,6
74,22,97992,9,22,8
75,43,35713,73,8,19
76,56,25209,80,3,14
77,60,96503,73,17,11
78,34,46772,86,23,11
79,33,54814,51,5,22
80,59,59321,59,11,25
81,22,21220,59,20,19
82,24,29602,69,7,17
83,34,37361,45,29,3
84,33,68434,37,6,15
85,52,112214,39,20,21
86,51,21025,86,27,18
87,37,106951,14,29,5
88,34,35129,14,24,18
89,27,55697,37,20,7
90,39,46685,88,21,9
91,50,84032,33,29,2
92,23,103136,55,27,9
93,20,20464,43,25,5
94,58,54335,21,24,15
95,53,112493,55,18,1
96,25,29862,89,29,5
97,52,24722,48,19,18
98,27,76333,17,2,10
99,41,25229,46,7,22
100,33,107416,14,12,25
101,53,73264,80,24,5
102,33,41299,23,29,14
103,19,43509,95,30,11
104,44,107806,95,26,8
105,35,40866,90,4,13
106,20,81694,29,7,15
107,40,60001,30,8,1
108,60,45313,52,11,9
109,22,56585,45,21,17
110,43,109065,69,11,1
111,25,54237,23,19,9
112,20,34208,77,14,12
113,38,77199,78,17,4
114,42,95574,25,9,2
115,45,20221,67,30,18
116,60,45825,47,14,3
117,60,63279,80,11,22
118,25,114339,39,17,10
119,60,73528,42,13,23
120,36,92667,17,7,14
121,60,69695,87,24,6
122,57,94593,39,13,18
123,18,59829,37,7,14
124,55,99516,84,11,15
125,46,77954,87,7,17
126,48,116463,22,22,3
127,36,87561,85,21,20
128,39,32240,97,8,22
129,37,49444,26,5,1
130,20,52092,61,20,25
131,22,79692,54,29,21
132,54,45485,92,23,13
133,49,72383,32,5,21
134,18,118430,99,29,4
135,45,48683,23,26,23
136,51,80889,7,18,8
137,25,79829,18,26,15
138,60,89616,72,20,11
139,46,100301,93,29,17
140,45,91810,58,29,6
141,48,78991,34,25,8
142,58,56347,99,25,17
143,49,102149,31,9,15
144,22,113525,37,8,9
145,39,61904,70,3,5
146,27,50311,50,23,5
147,31,28418,54,14,11
148,52,81069,54,2,7
149,44,71049,99,19,23
150,19,95456,49,16,1
151,40,59139,97,13,14
152,52,117978,95,18,20
153,32,83993,29,9,14
154,49,23804,50,11,22
155,43,114919,22,27,15
156,26,101560,69,1,13
157,55,93975,85,1,3
158,59,76179,18,28,15
159,29,26590,34,13,11
160,31,79598,42,11,25
161,42,56471,97,27,14
162,34,30735,61,1,24
163,52,26826,45,8,21
164,22,105426,6,25,1
165,33,46130,3,20,5
166,33,36544,61,22,4
167,54,48569,60,23,9
168,41,41992,78,20,24
169,25,41465,40,4,19
170,19,60888,74,22,13
171,43,113718,26,3,19
172,58,51830,14,23,25
173,37,109687,77,26,4
174,54,25383,45,18,14
175,60,68571,9,17,21
176,39,21658,54,27,16
177,24,76822,47,21,15
178,27,77080,23,24,17
179,59,55400,79,26,18
180,48,80931,56,27,24
181,55,55179,42,28,8
182,23,56559,58,8,25
183,47,94691,79,22,13
184,39,23761,64,28,11
185,29,83904,28,12,9
186,39,56655,77,23,9
187,53,21330,67,7,3
188,33,114381,53,16,18
189,33,110519,61,21,23
190,49,78743,3,3,10
191,32,73005,89,8,10
192,60,96225,48,16,18
193,51,65056,55,24,18
194,39,66112,90,15,9
195,37,52951,30,4,24
196,30,61359,16,24,18
197,29,45105,28,24,16
198,35,114972,76,25,17
199,56,57093,13,27,7
200,36,49816,47,6,10
201,18,112801,69,5,9
202,20,27146,71,10,23
203,26,103606,97,16,4
204,18,95243,37,16,16
205,46,64657,24,2,9
206,48,34953,9,13,16
207,22,95631,81,22,2
208,27,39555,73,10,3
209,33,35525,72,25,14
210,56,98135,80,8,25
211,51,69856,58,30,15
212,37,97139,55,10,19
213,57,27894,79,24,4
214,31,101987,28,9,22
215,23,40585,31,6,18
216,22,40517,1,14,15
217,56,81592,38,2,8
218,36,112662,37,23,15
219,22,110096,30,30,9
220,58,97304,85,26,7
221,45,35043,70,8,21
222,27,54816,19,3,2
223,28,60319,77,24,19
224,36,77560,16,15,23
225,37,111715,52,9,17
226,52,84722,57,3,20
227,20,76626,95,11,20
228,34,23390,12,8,22
229,54,96955,3,25,22
230,35,95529,6,25,25
231,29,81669,67,21,15
232,35,43788,75,14,21
233,49,31959,61,12,14
234,39,62081,86,4,6
235,39,73955,89,16,10
236,60,72488,98,18,2
237,47,31542,41,9,11
238,25,72976,66,27,1
239,60,91118,60,14,2
240,30,87952,47,20,25
241,49,101973,57,25,2
242,31,55003,71,5,10
243,46,111521,63,4,1
244,58,99806,31,23,6
245,37,92199,2,18,14
246,23,49451,15,15,4
247,59,40181,64,30,23
248,36,86698,91,9,14
249,48,81894,32,15,18
250,27,70277,25,30,20
251,50,117818,18,28,3
252,35,74387,44,30,17
253,35,20336,37,24,10
254,55,96011,85,16,5
255,46,90592,62,12,11
256,53,119991,70,13,15
257,38,44727,90,8,19
258,42,50613,100,14,2
259,38,117609,61,23,13
260,42,106991,84,5,16
261,20,36547,65,19,11
262,24,77711,13,17,15
263,18,114692,19,14,21
264,27,29807,61,26,9
265,39,101691,89,13,21
266,23,63065,87,28,18
267,42,61505,81,23,25
268,49,90912,5,20,3
269,33,102727,88,30,10
270,32,117880,12,14,4
271,58,112260,13,15,6
272,37,23794,6,11,2
273,36,66984,48,14,5
274,33,89621,53,19,22
275,29,42280,23,3,20
276,42,101226,88,8,16
277,55,38758,30,15,21
278,34,80236,33,22,1
279,47,57700,87,18,6
280,22,77898,45,19,10
281,58,75615,89,9,15
282,37,46111,50,28,16
283,24,51091,49,19,12
284,54,58780,90,10,1
285,60,71879,36,1,19
286,21,99482,96,16,10
287,32,99569,46,8,21
288,30,101381,33,22,25
289,60,109241,18,21,4
290,58,104717,6,10,15
291,20,95965,47,24,5
292,23,58680,42,24,14
293,29,46318,17,26,18
294,41,89579,65,30,9
295,28,53681,62,26,10
296,39,35095,60,3,5
297,32,108647,93,22,13
298,53,67942,12,26,13
299,18,54663,69,4,15
300,41,108188,96,22,9
