CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency,WebsiteVisits,Cluster
1,58,34592,4,24,9,2
2,33,49256,18,24,4,2
3,52,31395,76,14,2,0
4,19,32280,28,8,17,1
5,56,23478,72,7,23,1
6,59,111924,70,14,8,0
7,46,97236,36,26,1,0
8,28,111506,55,11,9,2
9,27,48221,98,11,4,0
10,23,69797,13,12,12,2
11,56,54671,6,24,15,2
12,52,36361,49,3,18,1
13,36,102397,80,29,12,0
14,54,45203,91,3,2,0
15,60,49871,99,10,3,0
16,32,33238,49,9,15,1
17,58,67819,21,12,12,1
18,31,107841,35,23,22,2
19,59,29358,78,21,6,0
20,52,115568,32,6,15,2
21,42,55382,82,23,18,0
22,32,109733,42,27,25,2
23,21,50021,5,26,11,2
24,43,55093,9,7,19,1
25,38,47869,84,16,13,0
26,59,80142,19,9,5,0
27,33,117647,72,18,9,0
28,55,76155,75,13,12,0
29,32,38131,66,16,3,0
30,21,34371,20,21,6,2
31,45,98172,9,13,13,2
32,56,81348,68,9,18,1
33,18,109166,93,4,22,2
34,52,118419,35,25,21,2
35,39,34621,38,14,6,1
36,47,20425,93,29,24,1
37,34,85612,98,6,17,1
38,24,101959,39,27,21,2
39,50,99818,26,5,12,2
40,28,90697,100,30,17,0
41,18,98504,42,16,1,2
42,25,67576,40,8,2,2
43,33,94364,11,3,24,2
44,49,29071,98,18,25,1
45,26,36828,85,16,18,1
46,28,54741,68,28,20,2
47,45,47760,70,25,24,1
48,30,113447,40,13,22,2
49,59,68944,57,29,17,0
50,46,35860,32,8,3,1
51,39,22757,76,18,8,0
52,55,48864,1,3,23,1
53,58,27716,30,3,2,1
54,39,29287,66,8,9,1
55,60,83624,28,18,5,0
56,54,95525,61,8,16,1
57,44,44957,13,4,22,1
58,45,66438,55,14,15,1
59,21,108259,84,21,4,0
60,21,72772,94,11,4,0
61,33,45112,25,18,15,2
62,26,75296,24,9,15,2
63,33,29880,57,26,18,1
64,24,26630,84,18,1,0
65,23,118771,31,6,14,2
66,49,83092,28,28,13,2
67,21,41579,49,1,13,1
68,34,79638,37,14,23,2
69,53,106752,92,16,5,0
70,30,58890,28,2,19,1
71,52,27989,96,11,2,0
72,21,96569,62,17,17,2
73,28,27455,66,3,6,1
74,22,97992,9,22,8,2
75,43,35713,73,8,19,1
76,56,25209,80,3,14,1
77,60,96503,73,17,11,0
78,34,46772,86,23,11,0
79,33,54814,51,5,22,1
80,59,59321,59,11,25,1
81,22,21220,59,20,19,1
82,24,29602,69,7,17,1
83,34,37361,45,29,3,0
84,33,68434,37,6,15,1
85,52,112214,39,20,21,2
86,51,21025,86,27,18,0
87,37,106951,14,29,5,2
88,34,35129,14,24,18,2
89,27,55697,37,20,7,2
90,39,46685,88,21,9,0
91,50,84032,33,29,2,0
92,23,103136,55,27,9,2
93,20,20464,43,25,5,0
94,58,54335,21,24,15,2
95,53,112493,55,18,1,0
96,25,29862,89,29,5,0
97,52,24722,48,19,18,1
98,27,76333,17,2,10,2
99,41,25229,46,7,22,1
100,33,107416,14,12,25,2
101,53,73264,80,24,5,0
102,33,41299,23,29,14,2
103,19,43509,95,30,11,0
104,44,107806,95,26,8,0
105,35,40866,90,4,13,1
106,20,81694,29,7,15,2
107,40,60001,30,8,1,0
108,60,45313,52,11,9,1
109,22,56585,45,21,17,2
110,43,109065,69,11,1,0
111,25,54237,23,19,9,2
112,20,34208,77,14,12,1
113,38,77199,78,17,4,0
114,42,95574,25,9,2,2
115,45,20221,67,30,18,0
116,60,45825,47,14,3,0
117,60,63279,80,11,22,1
118,25,114339,39,17,10,2
119,60,73528,42,13,23,1
120,36,92667,17,7,14,2
121,60,69695,87,24,6,0
122,57,94593,39,13,18,2
123,18,59829,37,7,14,2
124,55,99516,84,11,15,0
125,46,77954,87,7,17,1
126,48,116463,22,22,3,2
127,36,87561,85,21,20,0
128,39,32240,97,8,22,1
129,37,49444,26,5,1,1
130,20,52092,61,20,25,1
131,22,79692,54,29,21,2
132,54,45485,92,23,13,0
133,49,72383,32,5,21,1
134,18,118430,99,29,4,0
135,45,48683,23,26,23,2
136,51,80889,7,18,8,2
137,25,79829,18,26,15,2
138,60,89616,72,20,11,0
139,46,100301,93,29,17,0
140,45,91810,58,29,6,0
141,48,78991,34,25,8,0
142,58,56347,99,25,17,0
143,49,102149,31,9,15,2
144,22,113525,37,8,9,2
145,39,61904,70,3,5,1
146,27,50311,50,23,5,0
147,31,28418,54,14,11,1
148,52,81069,54,2,7,1
149,44,71049,99,19,23,1
150,19,95456,49,16,1,2
151,40,59139,97,13,14,0
152,52,117978,95,18,20,0
153,32,83993,29,9,14,2
154,49,23804,50,11,22,1
155,43,114919,22,27,15,2
156,26,101560,69,1,13,2
157,55,93975,85,1,3,0
158,59,76179,18,28,15,2
159,29,26590,34,13,11,1
160,31,79598,42,11,25,2
161,42,56471,97,27,14,0
162,34,30735,61,1,24,1
163,52,26826,45,8,21,1
164,22,105426,6,25,1,2
165,33,46130,3,20,5,2
166,33,36544,61,22,4,0
167,54,48569,60,23,9,0
168,41,41992,78,20,24,1
169,25,41465,40,4,19,1
170,19,60888,74,22,13,0
171,43,113718,26,3,19,2
172,58,51830,14,23,25,1
173,37,109687,77,26,4,0
174,54,25383,45,18,14,1
175,60,68571,9,17,21,2
176,39,21658,54,27,16,1
177,24,76822,47,21,15,2
178,27,77080,23,24,17,2
179,59,55400,79,26,18,0
180,48,80931,56,27,24,2
181,55,55179,42,28,8,0
182,23,56559,58,8,25,1
183,47,94691,79,22,13,0
184,39,23761,64,28,11,0
185,29,83904,28,12,9,2
186,39,56655,77,23,9,0
187,53,21330,67,7,3,1
188,33,114381,53,16,18,2
189,33,110519,61,21,23,2
190,49,78743,3,3,10,2
191,32,73005,89,8,10,0
192,60,96225,48,16,18,2
193,51,65056,55,24,18,0
194,39,66112,90,15,9,0
195,37,52951,30,4,24,1
196,30,61359,16,24,18,2
197,29,45105,28,24,16,2
198,35,114972,76,25,17,2
199,56,57093,13,27,7,0
200,36,49816,47,6,10,1
201,18,112801,69,5,9,2
202,20,27146,71,10,23,1
203,26,103606,97,16,4,0
204,18,95243,37,16,16,2
205,46,64657,24,2,9,1
206,48,34953,9,13,16,1
207,22,95631,81,22,2,0
208,27,39555,73,10,3,0
209,33,35525,72,25,14,0
210,56,98135,80,8,25,1
211,51,69856,58,30,15,0
212,37,97139,55,10,19,2
213,57,27894,79,24,4,0
214,31,101987,28,9,22,2
215,23,40585,31,6,18,1
216,22,40517,1,14,15,2
217,56,81592,38,2,8,1
218,36,112662,37,23,15,2
219,22,110096,30,30,9,2
220,58,97304,85,26,7,0
221,45,35043,70,8,21,1
222,27,54816,19,3,2,1
223,28,60319,77,24,19,0
224,36,77560,16,15,23,2
225,37,111715,52,9,17,2
226,52,84722,57,3,20,1
227,20,76626,95,11,20,1
228,34,23390,12,8,22,1
229,54,96955,3,25,22,2
230,35,95529,6,25,25,2
231,29,81669,67,21,15,2
232,35,43788,75,14,21,1
233,49,31959,61,12,14,1
234,39,62081,86,4,6,0
235,39,73955,89,16,10,0
236,60,72488,98,18,2,0
237,47,31542,41,9,11,1
238,25,72976,66,27,1,0
239,60,91118,60,14,2,0
240,30,87952,47,20,25,2
241,49,101973,57,25,2,0
242,31,55003,71,5,10,1
243,46,111521,63,4,1,0
244,58,99806,31,23,6,0
245,37,92199,2,18,14,2
246,23,49451,15,15,4,2
247,59,40181,64,30,23,0
248,36,86698,91,9,14,0
249,48,81894,32,15,18,2
250,27,70277,25,30,20,2
251,50,117818,18,28,3,2
252,35,74387,44,30,17,2
253,35,20336,37,24,10,1
254,55,96011,85,16,5,0
255,46,90592,62,12,11,0
256,53,119991,70,13,15,0
257,38,44727,90,8,19,1
258,42,50613,100,14,2,0
259,38,117609,61,23,13,2
260,42,106991,84,5,16,1
261,20,36547,65,19,11,1
262,24,77711,13,17,15,2
263,18,114692,19,14,21,2
264,27,29807,61,26,9,0
265,39,101691,89,13,21,0
266,23,63065,87,28,18,0
267,42,61505,81,23,25,1
268,49,90912,5,20,3,2
269,33,102727,88,30,10,0
270,32,117880,12,14,4,2
